03-Aug-2021 20:27:06 Curr2 (A):  0.1198492
03-Aug-2021 20:27:06 Time (Sec):  28
03-Aug-2021 20:27:21 Get IV Data
03-Aug-2021 20:27:21 Volt1 (V):  6.996891
03-Aug-2021 20:27:21 Volt2 (V):  7.033307
03-Aug-2021 20:27:21 Curr1 (A):  0.4546019
03-Aug-2021 20:27:21 Curr2 (A):  0.118718
03-Aug-2021 20:27:21 Time (Sec):  37
03-Aug-2021 20:27:25 Get IV Data
03-Aug-2021 20:27:25 Volt1 (V):  6.996821
03-Aug-2021 20:27:25 Volt2 (V):  7.033303
03-Aug-2021 20:27:25 Curr1 (A):  0.4456572
03-Aug-2021 20:27:25 Curr2 (A):  0.1179469
03-Aug-2021 20:27:25 Time (Sec):  46
03-Aug-2021 20:27:32 Get IV Data
03-Aug-2021 20:27:32 Volt1 (V):  6.996842
03-Aug-2021 20:27:32 Volt2 (V):  7.033447
03-Aug-2021 20:27:32 Curr1 (A):  0.4454937
03-Aug-2021 20:27:32 Curr2 (A):  0.1171455
03-Aug-2021 20:27:32 Time (Sec):  53
03-Aug-2021 20:27:39 Get IV Data
03-Aug-2021 20:27:39 Volt1 (V):  6.996818
03-Aug-2021 20:27:39 Volt2 (V):  7.03352
03-Aug-2021 20:27:39 Curr1 (A):  0.4505887
03-Aug-2021 20:27:39 Curr2 (A):  0.1172519
03-Aug-2021 20:27:39 Time (Sec):  60
03-Aug-2021 20:27:46 Get IV Data
03-Aug-2021 20:27:46 Volt1 (V):  6.996917
03-Aug-2021 20:27:46 Volt2 (V):  7.033508
03-Aug-2021 20:27:46 Curr1 (A):  0.4600357
03-Aug-2021 20:27:46 Curr2 (A):  0.1188544
03-Aug-2021 20:27:46 Time (Sec):  67
03-Aug-2021 20:27:53 Get IV Data
03-Aug-2021 20:27:53 Volt1 (V):  6.996933
03-Aug-2021 20:27:53 Volt2 (V):  7.033514
03-Aug-2021 20:27:53 Curr1 (A):  0.4639989
03-Aug-2021 20:27:53 Curr2 (A):  0.120096
03-Aug-2021 20:27:53 Time (Sec):  74
03-Aug-2021 20:28:03 OUTP OFF
03-Aug-2021 20:28:03 Get IV Data
03-Aug-2021 20:28:03 Volt1 (V):  6.996861
03-Aug-2021 20:28:03 Volt2 (V):  7.033552
03-Aug-2021 20:28:03 Curr1 (A):  0.4529435
03-Aug-2021 20:28:03 Curr2 (A):  0.1192753
03-Aug-2021 20:28:03 Time (Sec):  81
03-Aug-2021 20:28:07 Get IV Data
03-Aug-2021 20:28:07 Volt1 (V):  1.239635
03-Aug-2021 20:28:07 Volt2 (V):  0.01705746
03-Aug-2021 20:28:07 Curr1 (A):  -0.1765998
03-Aug-2021 20:28:07 Curr2 (A):  0.005846357
03-Aug-2021 20:28:07 Time (Sec):  88
03-Aug-2021 20:28:14 Get IV Data
03-Aug-2021 20:28:14 Volt1 (V):  1.239728
03-Aug-2021 20:28:14 Volt2 (V):  0.0168567
03-Aug-2021 20:28:14 Curr1 (A):  -0.1767599
03-Aug-2021 20:28:14 Curr2 (A):  0.005839459
03-Aug-2021 20:28:14 Time (Sec):  96
03-Aug-2021 20:28:22 Get IV Data
03-Aug-2021 20:28:22 Volt1 (V):  1.134297
03-Aug-2021 20:28:22 Volt2 (V):  0.01678346
03-Aug-2021 20:28:22 Curr1 (A):  -0.1767973
03-Aug-2021 20:28:22 Curr2 (A):  0.005864351
03-Aug-2021 20:28:22 Time (Sec):  103
03-Aug-2021 20:28:29 Get IV Data
03-Aug-2021 20:28:29 Volt1 (V):  1.132066
03-Aug-2021 20:28:29 Volt2 (V):  0.01681671
03-Aug-2021 20:28:29 Curr1 (A):  -0.1768515
03-Aug-2021 20:28:29 Curr2 (A):  0.005864151
03-Aug-2021 20:28:29 Time (Sec):  110
03-Aug-2021 20:28:41 OUTP ON
03-Aug-2021 20:28:41 Get IV Data
03-Aug-2021 20:28:41 Volt1 (V):  1.134234
03-Aug-2021 20:28:41 Volt2 (V):  0.01696234
03-Aug-2021 20:28:41 Curr1 (A):  -0.1768769
03-Aug-2021 20:28:41 Curr2 (A):  0.005874148
03-Aug-2021 20:28:41 Time (Sec):  117
03-Aug-2021 20:28:45 Get IV Data
03-Aug-2021 20:28:45 Volt1 (V):  6.996746
03-Aug-2021 20:28:45 Volt2 (V):  7.033978
03-Aug-2021 20:28:45 Curr1 (A):  0.4451165
03-Aug-2021 20:28:45 Curr2 (A):  0.1195097
03-Aug-2021 20:28:45 Time (Sec):  126
03-Aug-2021 20:28:52 Get IV Data
03-Aug-2021 20:28:52 Volt1 (V):  6.996706
