04-Aug-2021 11:44:12 Volt2 (V):  7.033299
04-Aug-2021 11:44:12 Curr1 (A):  0.4593258
04-Aug-2021 11:44:12 Curr2 (A):  0.1190539
04-Aug-2021 11:44:12 Time (Sec):  480
04-Aug-2021 11:44:19 Get IV Data
04-Aug-2021 11:44:19 Volt1 (V):  6.99718
04-Aug-2021 11:44:19 Volt2 (V):  7.0333
04-Aug-2021 11:44:19 Curr1 (A):  0.4587767
04-Aug-2021 11:44:19 Curr2 (A):  0.1223338
04-Aug-2021 11:44:19 Time (Sec):  488
04-Aug-2021 11:44:26 Get IV Data
04-Aug-2021 11:44:26 Volt1 (V):  6.997082
04-Aug-2021 11:44:26 Volt2 (V):  7.033301
04-Aug-2021 11:44:26 Curr1 (A):  0.447882
04-Aug-2021 11:44:26 Curr2 (A):  0.1182136
04-Aug-2021 11:44:26 Time (Sec):  495
04-Aug-2021 11:44:33 Get IV Data
04-Aug-2021 11:44:33 Volt1 (V):  6.99703
04-Aug-2021 11:44:33 Volt2 (V):  7.033255
04-Aug-2021 11:44:33 Curr1 (A):  0.4228726
04-Aug-2021 11:44:33 Curr2 (A):  0.1201505
04-Aug-2021 11:44:33 Time (Sec):  502
04-Aug-2021 11:44:41 Get IV Data
04-Aug-2021 11:44:41 Volt1 (V):  6.997049
04-Aug-2021 11:44:41 Volt2 (V):  7.03334
04-Aug-2021 11:44:41 Curr1 (A):  0.4524283
04-Aug-2021 11:44:41 Curr2 (A):  0.117163
04-Aug-2021 11:44:41 Time (Sec):  509
04-Aug-2021 11:44:48 Get IV Data
04-Aug-2021 11:44:48 Volt1 (V):  6.99714
04-Aug-2021 11:44:48 Volt2 (V):  7.033273
04-Aug-2021 11:44:48 Curr1 (A):  0.4651352
04-Aug-2021 11:44:48 Curr2 (A):  0.1180068
04-Aug-2021 11:44:48 Time (Sec):  516
04-Aug-2021 11:44:55 Get IV Data
04-Aug-2021 11:44:55 Volt1 (V):  6.997005
04-Aug-2021 11:44:55 Volt2 (V):  7.03326
04-Aug-2021 11:44:55 Curr1 (A):  0.4606732
04-Aug-2021 11:44:55 Curr2 (A):  0.1182433
04-Aug-2021 11:44:55 Time (Sec):  523
04-Aug-2021 11:45:02 Get IV Data
04-Aug-2021 11:45:02 Volt1 (V):  6.997105
04-Aug-2021 11:45:02 Volt2 (V):  7.03333
04-Aug-2021 11:45:02 Curr1 (A):  0.4611412
04-Aug-2021 11:45:02 Curr2 (A):  0.1204499
04-Aug-2021 11:45:02 Time (Sec):  531
04-Aug-2021 11:45:09 Get IV Data
04-Aug-2021 11:45:09 Volt1 (V):  6.997129
04-Aug-2021 11:45:09 Volt2 (V):  7.033091
04-Aug-2021 11:45:09 Curr1 (A):  0.4578389
04-Aug-2021 11:45:09 Curr2 (A):  0.1166066
04-Aug-2021 11:45:09 Time (Sec):  538
04-Aug-2021 11:45:16 Get IV Data
04-Aug-2021 11:45:16 Volt1 (V):  6.997079
04-Aug-2021 11:45:16 Volt2 (V):  7.03331
04-Aug-2021 11:45:16 Curr1 (A):  0.4514169
04-Aug-2021 11:45:16 Curr2 (A):  0.1179497
04-Aug-2021 11:45:16 Time (Sec):  545
04-Aug-2021 11:45:24 Get IV Data
04-Aug-2021 11:45:24 Volt1 (V):  6.997202
04-Aug-2021 11:45:24 Volt2 (V):  7.033227
04-Aug-2021 11:45:24 Curr1 (A):  0.4550326
04-Aug-2021 11:45:24 Curr2 (A):  0.1187469
04-Aug-2021 11:45:24 Time (Sec):  552
04-Aug-2021 11:45:31 Get IV Data
04-Aug-2021 11:45:31 Volt1 (V):  6.997239
04-Aug-2021 11:45:31 Volt2 (V):  7.033127
04-Aug-2021 11:45:31 Curr1 (A):  0.4514231
04-Aug-2021 11:45:31 Curr2 (A):  0.1214616
04-Aug-2021 11:45:31 Time (Sec):  559
04-Aug-2021 11:45:38 Get IV Data
04-Aug-2021 11:45:38 Volt1 (V):  6.997098
04-Aug-2021 11:45:38 Volt2 (V):  7.033192
04-Aug-2021 11:45:38 Curr1 (A):  0.4551403
04-Aug-2021 11:45:38 Curr2 (A):  0.1190164
04-Aug-2021 11:45:38 Time (Sec):  566
04-Aug-2021 11:45:45 Get IV Data
04-Aug-2021 11:45:45 Volt1 (V):  6.997135
04-Aug-2021 11:45:45 Volt2 (V):  7.033178
04-Aug-2021 11:45:45 Curr1 (A):  0.4574493
04-Aug-2021 11:45:45 Curr2 (A):  0.1190621
04-Aug-2021 11:45:45 Time (Sec):  574
04-Aug-2021 11:45:52 Get IV Data
04-Aug-2021 11:45:52 Volt1 (V):  6.997281
04-Aug-2021 11:45:52 Volt2 (V):  7.033236
04-Aug-2021 11:45:52 Curr1 (A):  0.454304
04-Aug-2021 11:45:52 Curr2 (A):  0.1179417
04-Aug-2021 11:45:52 Time (Sec):  581
04-Aug-2021 11:46:00 Get IV Data
04-Aug-2021 11:46:00 Volt1 (V):  6.997122
04-Aug-2021 11:46:00 Volt2 (V):  7.033256
04-Aug-2021 11:46:00 Curr1 (A):  0.4662892
04-Aug-2021 11:46:00 Curr2 (A):  0.117144
04-Aug-2021 11:46:00 Time (Sec):  588
04-Aug-2021 11:46:07 Get IV Data
04-Aug-2021 11:46:07 Volt1 (V):  6.997128
04-Aug-2021 11:46:07 Volt2 (V):  7.033203
04-Aug-2021 11:46:07 Curr1 (A):  0.4444601
04-Aug-2021 11:46:07 Curr2 (A):  0.1215751
04-Aug-2021 11:46:07 Time (Sec):  595
04-Aug-2021 11:46:14 Get IV Data
04-Aug-2021 11:46:14 Volt1 (V):  6.997038
04-Aug-2021 11:46:14 Volt2 (V):  7.033311
04-Aug-2021 11:46:14 Curr1 (A):  0.4544547
